City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Urumqi,CN,36.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
321,Kiama,AU,72.37,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
322,Bahia Honda,CU,79.63,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
323,Victoria,HK,78.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
324,Yuanping,CN,42.44,scattered clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
325,Mehamn,NO,32.5,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
326,Ust-Tsilma,RU,17.76,overcast clouds,65.441,52.1498,U Praskov'i
327,Ukiah,US,58.01,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
330,Menongue,AO,65.93,overcast clouds,-14.6585,17.691,Ritz Lauca
332,Sinnamary,GF,78.84,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
333,Koungou,YT,78.51,moderate rain,-12.7336,45.2042,Villa Netibor
334,Fredericksburg,US,56.95,overcast clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
335,San Juan,AR,85.96,clear sky,-31.5375,-68.5364,Hotel Provincial
336,Ishigaki,JP,77.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
337,Puerto Madryn,AR,73.42,broken clouds,-42.7692,-65.0385,Hotel Tolosa
338,Sao Filipe,CV,79.52,broken clouds,14.8961,-24.4956,Hotel Xaguate
339,Bhanpuri,IN,66.43,clear sky,21.1,80.9167,Bholaram Verma
340,Shimanovsk,RU,34.21,overcast clouds,52.0,127.7,Гостиница Домашняя
341,Shahreza,IR,48.97,clear sky,32.0339,51.8794,خوابگاه
342,Nova Zagora,BG,50.27,clear sky,42.4833,26.0167,Hotel Rio
343,Winsum,NL,56.17,overcast clouds,53.33,6.5208,Tuinhuis
344,Rincon,US,68.86,clear sky,32.296,-81.2354,Days Inn Rincon
345,Jijiang,CN,64.36,overcast clouds,29.2906,106.2542,Chongqing Jiangjin Hotel
